id,product_code,batch_number,manufacturing_date,expiry_date,manufacturer,dispute_status
c0ac3343-5b38-4d53-ab39-0cf2020e83b3,8903443533184,AX2291,2026-03-05,2028-03-31,Amrutha Drugs Ltd.,none
b17a313a-174b-4a1f-8d60-f9e6964f73c0,8907444651473,BQ7743,2025-09-16,2028-05-29,Sanjeevani Formulations Pvt. Ltd.,none
b02733ab-044c-4aee-99eb-944626d6e20c,8909065355911,CT5510,2025-03-11,2026-09-18,Suraksha Pharmaceuticals Ltd.,none
f64d9ccb-a6fc-4cd6-b30e-30adc74ccf5f,8906631628447,DR8820,2025-04-14,2029-08-28,Sanjeevani Formulations Pvt. Ltd.,none
a1afd819-1209-49b9-82c0-59164ff54fe0,8909430944205,EN3302,2023-10-06,2025-11-06,Alembic Pharmaceuticals Ltd.,none
90279a30-2418-47ac-9234-fc2ea8927d3f,8903443533184,FM9184,2022-07-14,2026-07-07,Amrutha Drugs Ltd.,none
920554a4-576e-4b36-bf92-c7b115da4b0f,8900523898688,GH6625,2026-01-08,2030-01-19,Suraksha Pharmaceuticals Ltd.,none
22c796ca-4c4f-4225-a913-aeebb853123c,8906631628447,JK4471,2024-12-19,2026-07-23,Sanjeevani Formulations Pvt. Ltd.,none
04d3b178-8019-4556-a700-a974a28be08f,8903443533184,LP2098,2025-12-14,2028-07-26,Amrutha Drugs Ltd.,none
2056347b-3473-4f0d-8518-95afd7d0c7c6,8905140837385,MQ7756,2026-07-06,2029-12-01,J.B. Chemicals & Pharmaceuticals Ltd.,none
a80ee53e-e832-49b4-952f-58ffc2c14c96,8903972376374,NS3340,2024-11-22,2029-01-20,Wockhardt Ltd.,none
58678083-f690-4d4a-b16e-1776f22ee465,8901213895693,PT8813,2025-04-17,2028-03-31,Nirmala Biotech Pvt. Ltd.,open
1b36e1ac-23c9-46a5-bab3-4d1b17e627bc,8907651954380,RV5567,2025-04-13,2028-05-11,Bhoomi Remedies Pvt. Ltd.,none
d3f38059-aadd-4b1e-9913-e32a3f9bc267,8907444651473,SW1123,2024-12-08,2028-03-28,Sanjeevani Formulations Pvt. Ltd.,resolved_overturned
1f103ef4-b9ef-4bb2-a017-7f0a8d4a1f60,8900471959291,TX6690,2026-02-05,2028-06-18,Meridian Formulations Pvt. Ltd.,resolved_upheld
2d9f3552-a9c2-4b34-a8f2-57fb4d805156,8901936426455,LOT24D439,2025-05-26,2028-02-04,Glenmark Pharmaceuticals Ltd.,none
4b1a4576-d395-4f51-8624-a687f21ee040,8902260951139,XY1521,2025-02-25,2028-05-25,Mankind Pharma Ltd.,none
64f7038b-ae08-4a12-92cc-7b2edaf23702,8907684236474,LOT24A711,2025-07-17,2029-12-27,Dr. Reddy's Laboratories Ltd.,none
dd64070c-dccd-4e13-98fb-acc36023e1ae,8900001499706,24087816,2022-11-07,2026-04-05,Micro Labs Ltd.,none
f92c83a0-61fc-4e53-959c-09a171c5ea6e,8908995169817,LOT25A315,2025-06-04,2027-06-21,Girivan Pharmaceuticals Pvt. Ltd.,none
a4c82cde-f60f-43e0-883c-2325d9ea021e,8909807559534,LOT26C626,2024-10-28,2029-02-12,Cipla Ltd.,none
311cb1e3-f4d1-4393-8c0a-d718c875ceb5,8903280387266,26123737,2026-07-20,2029-03-15,Dr. Reddy's Laboratories Ltd.,none
60c06bce-ddf5-41a1-b164-cd920bf5e8f6,8902993146925,LOT26G721,2025-08-15,2027-05-02,Wockhardt Ltd.,none
ab155dcc-ea72-4c7e-836f-4af72f167282,8901506705318,25072386,2026-04-07,2028-01-13,Natco Pharma Ltd.,none
90a07cdc-3ae7-4a35-bf00-2064be6c1856,8909352684043,25019671,2024-12-11,2028-06-12,Zydus Lifesciences Ltd.,none
cdf6580c-2035-4343-bc59-f9c744bf4c4d,8902941165461,LOT26C617,2025-02-27,2027-07-20,Sun Pharmaceutical Industries Ltd.,none
e21d8776-af56-48c3-89bc-a9a38c583237,8902527998151,JE4109,2026-04-06,2029-05-02,Ipca Laboratories Ltd.,none
e61826f9-465e-48c4-bb64-e92a70415342,8909873411325,ZD8998,2024-10-10,2026-11-28,Eris Lifesciences Ltd.,none
cf00175b-2f62-4cc7-b77d-c0f808bf484d,8901213895693,AR2414,2025-07-08,2028-11-13,Nirmala Biotech Pvt. Ltd.,none
29ec5ded-53ff-482c-9711-34e2ca1b6cb9,8902334315255,UP3209,2026-03-08,2029-12-25,GlaxoSmithKline Pharmaceuticals Ltd.,none
147a9e07-f3ae-431b-8a61-e020d0f6826a,8909430944205,LOT24H122,2026-03-25,2029-05-02,Alembic Pharmaceuticals Ltd.,none
e4751eb0-35f8-4d28-99de-fda93777a1d6,8901179453447,25026333,2022-09-29,2025-01-03,J.B. Chemicals & Pharmaceuticals Ltd.,none
0cd8a71c-2ea6-420f-98d7-8bac2d446cd5,8907684236474,LOT25G889,2025-07-04,2028-06-20,Dr. Reddy's Laboratories Ltd.,none
e06ca0c4-79a1-4ce2-98d3-48b37f96c5a1,8901179453447,NL5377,2026-02-22,2028-05-08,J.B. Chemicals & Pharmaceuticals Ltd.,none
85912810-9b15-4f09-8a78-9f54a74f31ef,8901442334331,DY5511,2026-07-31,2028-01-17,Alembic Pharmaceuticals Ltd.,none
eb2d6313-85c5-4478-8cb5-bf9cb82f000f,8905835677909,LOT26H952,2024-11-18,2029-05-24,Bhoomi Remedies Pvt. Ltd.,none
0d54ad02-9d4d-4301-a55a-b5b0fc99c971,8907877908912,LOT24E420,2025-03-07,2027-11-18,Intas Pharmaceuticals Ltd.,none
0e7ad565-f19f-44c3-9e49-95268be8c3ca,8909873411325,25102049,2026-07-18,2030-08-08,Eris Lifesciences Ltd.,none
39b71555-0a52-46e6-99cb-2d8849f46eac,8904772360610,LOT25A675,2024-12-07,2027-07-21,Glenmark Pharmaceuticals Ltd.,none
30dac2ad-1b6a-4432-80d5-1e378163962b,8900001499706,RP9668,2025-09-11,2028-07-03,Micro Labs Ltd.,none
39700ede-bac9-439f-89bb-f6039004b15b,8904047855131,PC5596,2025-04-06,2028-12-01,Alembic Pharmaceuticals Ltd.,none
6161d288-edb8-4b62-9791-8ab1607c5947,8905067392604,25099211,2026-03-25,2028-06-20,Intas Pharmaceuticals Ltd.,none
991f2775-9e39-43f2-a532-0e8575b1c134,8901228543833,NW3099,2024-09-25,2028-10-17,Lupin Ltd.,none
df8f3c84-7b8a-4fcc-8e2d-8cfe1cce8e31,8901264866977,LOT25C750,2025-09-13,2029-02-22,Emcure Pharmaceuticals Ltd.,none
a947a0d7-4fd9-48b7-813b-2285abe4a57c,8903453348821,24122139,2026-01-19,2028-04-11,Wockhardt Ltd.,none
014e7ef3-d422-48fc-aa1a-fdd30d5637d0,8906047361152,LOT24H348,2025-04-28,2028-10-29,Piramal Pharma Ltd.,none
9ba40161-5a93-4d73-8431-3b783c341108,8902260951139,LOT25C218,2025-06-20,2026-11-21,Mankind Pharma Ltd.,none
865274e5-98b0-45a4-a92b-c15b0c44f971,8901475352413,LOT24A269,2021-02-19,2025-01-28,Eris Lifesciences Ltd.,none
25688dd6-8e9c-4892-bf8a-d40586c08a9e,8903504169052,TQ3842,2026-07-30,2030-07-18,Alembic Pharmaceuticals Ltd.,none
d16eaad2-e8ed-4cfc-884b-d97bd207724c,8901475352413,NJ6473,2026-03-23,2029-09-06,Eris Lifesciences Ltd.,none
9a2ee1ce-52e9-4377-816b-76abb64cc73e,8906113462677,JV2905,2025-01-24,2029-12-23,GlaxoSmithKline Pharmaceuticals Ltd.,none
a0b6d1f6-e8aa-4530-84af-eeb0ce164103,8902447939089,CM6493,2025-01-02,2028-02-20,Torrent Pharmaceuticals Ltd.,none
6f31d69c-b9ce-4d86-9282-8fa10d7a7507,8909807559534,25091379,2024-10-27,2029-03-04,Cipla Ltd.,none
7e66d9c5-2ca0-463a-97b4-de103ae7e2e7,8904477882870,KM3535,2025-01-12,2029-03-19,Indoco Remedies Ltd.,none
f7e4d16c-fccd-48da-a2c7-b6779766f9c3,8902183033258,26073593,2024-12-10,2027-08-20,J.B. Chemicals & Pharmaceuticals Ltd.,none
5399a52a-c1ad-4eab-8ffe-e813ac6bfd3a,8903504169052,SC0887,2026-08-03,2027-09-29,Alembic Pharmaceuticals Ltd.,none
47b9264d-9f76-4a5d-adfa-4986a09930b2,8907444651473,25101642,2025-10-15,2030-07-07,Sanjeevani Formulations Pvt. Ltd.,resolved_upheld
c10b8545-b974-4f4c-82ef-d29a06984b11,8906405574592,LOT24H440,2025-03-31,2026-12-07,Northstar Remedies Ltd.,resolved_upheld
f6aa72e6-2184-4602-82e2-e5d9836fd01b,8903280387266,LOT25A160,2024-07-24,2026-07-15,Dr. Reddy's Laboratories Ltd.,none
8b4096d8-d9cc-4418-a585-08c4c9b83718,8903280387266,LOT24A576,2022-06-25,2025-08-10,Dr. Reddy's Laboratories Ltd.,none
33c46f55-ae98-4fcd-84bd-7a1de6e18d0e,8905936743689,WE1206,2025-06-14,2028-01-28,Zydus Lifesciences Ltd.,none
70a28f29-dcf0-457a-99b9-c512db36d01d,8906712472899,26024914,2026-01-10,2030-08-09,Mankind Pharma Ltd.,none
15830e45-eddd-4a21-9d31-b6faa49a0be3,8904520635707,LOT25G685,2020-11-06,2025-03-30,Alkem Laboratories Ltd.,none
4ba36fb9-d7ad-478c-9f23-895659208801,8901402727471,25032105,2025-10-28,2027-01-27,Mankind Pharma Ltd.,none
ae4bf46d-550b-4efb-960e-cf34e672b378,8909873411325,GA8613,2025-06-08,2029-10-29,Eris Lifesciences Ltd.,none
cc31d448-3e23-4605-9859-59c241481c52,8902941165461,CY2568,2025-06-25,2028-11-12,Sun Pharmaceutical Industries Ltd.,none
4f94940f-bbdb-4f11-9798-f8c28cbde760,8906047361152,25079788,2025-03-27,2028-04-03,Piramal Pharma Ltd.,none
30cbca66-4820-467f-9ec3-cc52d4ef623d,8904313264691,EU7991,2026-04-02,2030-04-10,Alembic Pharmaceuticals Ltd.,none
5c4bb547-ad20-4541-b3b8-d50fd5458d06,8906816703415,AR8412,2024-10-07,2027-12-29,Northstar Remedies Ltd.,none
ca25d091-ef7e-4c42-aabc-736b558b1023,8901402727471,UW5645,2025-07-08,2028-01-06,Mankind Pharma Ltd.,none
d1c48540-6ff0-4bd2-b162-9ae68c9b5db0,8901795675954,LOT24A304,2026-03-28,2031-01-29,Aurobindo Pharma Ltd.,none
c093d304-189b-4c6b-afee-480d6120908a,8904942727187,25017579,2026-05-07,2030-05-07,Biocon Ltd.,none
ba552703-10a2-4a1f-9760-52aa47b0a5da,8902623846571,LOT24G813,2025-09-12,2030-07-06,Zydus Lifesciences Ltd.,none
6eff8b47-61c8-4d62-84a8-432f38324e71,8900151108194,LOT25F150,2026-08-24,2029-10-09,USV Pvt. Ltd.,none
9e233ff3-a20a-4168-84b7-6e5bc8fba122,8900138357454,ZJ8663,2025-10-13,2029-03-21,Micro Labs Ltd.,none
9c85a62c-a2df-47b7-9b5c-7e66296149be,8907651954380,FY6679,2024-10-25,2028-05-11,Bhoomi Remedies Pvt. Ltd.,none
9b3cb703-434d-416a-84b4-535c1e01f088,8903635461183,MC1018,2026-07-15,2027-10-22,Sun Pharmaceutical Industries Ltd.,none
e668a166-f876-499f-b39a-3310b8d99f85,8908336324249,LOT24H115,2025-08-30,2029-06-20,GlaxoSmithKline Pharmaceuticals Ltd.,none
6f71dbff-841d-4ce8-957a-007014cf2bfa,8901550734699,DW0138,2025-09-15,2029-04-27,Kalash Biotech Ltd.,resolved_upheld
