id,batch_number,submitted_by,submitter_domain,evidence_reference,status,submitted_at,resolved_at,resolution_notes
992e7a30-558f-41d9-906b-e2d51239c990,PT8813,Nirmala Biotech Pvt. Ltd.,nirmalabio.com,Data_Entry_Correction_Letter_PT8813.pdf,open,2025-12-03T18:00:00,,
60cb2bea-18b8-4fce-867a-aa4368ae88ea,SW1123,Sanjeevani Formulations Pvt. Ltd.,sanjeevani.com,Manufacturing_Batch_Record_SW1123.pdf,resolved_overturned,2026-05-14T09:00:00,2026-05-18T12:00:00,Batch number in the original NSQ record was transcribed incorrectly (data-entry error); corrected and verdict overturned.
e006f815-a447-4928-b764-a70de256133e,TX6690,Meridian Formulations Pvt. Ltd.,meridian.com,Data_Entry_Correction_Letter_TX6690.pdf,resolved_upheld,2026-02-04T15:00:00,2026-02-09T09:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
d8563887-5f4a-4476-b046-ed092fd4ccf8,TM1006,Punarnava Life Sciences Ltd.,punarnava.com,Corrected_NSQ_Notice_TM1006.pdf,resolved_overturned,2026-07-18T18:00:00,2026-07-21T18:00:00,Manufacturer demonstrated the flagged batch number does not match any batch it produced; verdict overturned.
ec9ed0be-0949-41cd-a3d5-e68bcd68b599,25101642,Sanjeevani Formulations Pvt. Ltd.,sanjeevani.com,Manufacturing_Batch_Record_25101642.pdf,resolved_upheld,2025-12-09T15:00:00,2025-12-15T11:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
89cd0e92-a226-43fa-9f1c-d47415ab1d9b,25092748,Girivan Pharmaceuticals Pvt. Ltd.,girivanpharma.com,Corrected_NSQ_Notice_25092748.pdf,under_review,2026-04-07T18:00:00,,
877bef17-08da-4f34-9d8d-cac83fa453a7,LOT24D758,Girivan Pharmaceuticals Pvt. Ltd.,girivanpharma.com,Manufacturing_Batch_Record_LOT24D758.pdf,resolved_upheld,2026-03-29T18:00:00,2026-04-05T17:00:00,Manufacturing licence cited does not correspond to the disputed batch. Verdict upheld.
7a68c755-2bb8-4e24-b366-926689324973,LOT26D648,Girivan Pharmaceuticals Pvt. Ltd.,girivanpharma.com,Third_Party_Lab_Retest_Report_LOT26D648.pdf,resolved_overturned,2026-05-12T15:00:00,2026-05-18T17:00:00,Manufacturer demonstrated the flagged batch number does not match any batch it produced; verdict overturned.
52e74d44-ae13-4e83-895a-adae031e1761,GL4048,Meridian Formulations Pvt. Ltd.,meridian.com,Third_Party_Lab_Retest_Report_GL4048.pdf,resolved_upheld,2026-05-18T12:00:00,2026-05-20T18:00:00,Manufacturing licence cited does not correspond to the disputed batch. Verdict upheld.
d47b13fc-4163-4010-a890-c1f646c71d74,DN6000,Suraksha Pharmaceuticals Ltd.,surakshapharma.com,Third_Party_Lab_Retest_Report_DN6000.pdf,under_review,2026-02-10T11:00:00,,
c10c5524-47db-4f33-bd1c-06b9a286469b,25021440,Nirmala Biotech Pvt. Ltd.,nirmalabio.com,Third_Party_Lab_Retest_Report_25021440.pdf,resolved_overturned,2026-02-09T17:00:00,2026-02-14T15:00:00,Third-party retest confirms the batch meets specification; original finding was based on a since-corrected lab record.
639f428e-90cf-471b-afe8-b469a2d78403,25015384,Kalash Biotech Ltd.,kalashbio.com,Third_Party_Lab_Retest_Report_25015384.pdf,resolved_upheld,2026-03-01T12:00:00,2026-03-04T09:00:00,Manufacturing licence cited does not correspond to the disputed batch. Verdict upheld.
f2582ca3-47cd-41c3-b948-274aa1f55a49,ZN4436,Northstar Remedies Ltd.,northstar.com,Data_Entry_Correction_Letter_ZN4436.pdf,resolved_overturned,2026-02-20T14:00:00,2026-02-27T10:00:00,Manufacturer demonstrated the flagged batch number does not match any batch it produced; verdict overturned.
a8b22acb-1ccb-4ff0-a16b-6df6fc5058dd,HC9324,Suraksha Pharmaceuticals Ltd.,surakshapharma.com,Certificate_of_Analysis_HC9324.pdf,under_review,2026-09-05T11:00:00,,
6bd2948d-f36e-46ee-be78-42253b5693b9,CB2775,Sanjeevani Formulations Pvt. Ltd.,sanjeevani.com,Data_Entry_Correction_Letter_CB2775.pdf,resolved_upheld,2025-12-27T15:00:00,2026-01-02T13:00:00,Manufacturing licence cited does not correspond to the disputed batch. Verdict upheld.
e442ed74-18b2-41b0-8d1d-e3abe623384c,25029358,Sanjeevani Formulations Pvt. Ltd.,sanjeevani.com,Manufacturing_Batch_Record_25029358.pdf,resolved_upheld,2026-07-17T16:00:00,2026-07-22T12:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
38c496cb-7d1f-4bf4-92da-a835f18c0690,KD4252,Suraksha Pharmaceuticals Ltd.,surakshapharma.com,Manufacturing_Batch_Record_KD4252.pdf,resolved_overturned,2026-01-17T16:00:00,2026-01-26T11:00:00,Third-party retest confirms the batch meets specification; original finding was based on a since-corrected lab record.
5468c5d8-4a2f-4902-824f-a29d786ac4ac,LOT24D875,Suraksha Pharmaceuticals Ltd.,surakshapharma.com,Corrected_NSQ_Notice_LOT24D875.pdf,under_review,2026-02-28T09:00:00,,
bbaa08a9-6468-44a7-a511-048f9110e132,LOT24H440,Northstar Remedies Ltd.,northstar.com,Data_Entry_Correction_Letter_LOT24H440.pdf,resolved_upheld,2026-08-26T11:00:00,2026-09-04T15:00:00,Manufacturing licence cited does not correspond to the disputed batch. Verdict upheld.
98602baf-977e-4659-8dbc-de8c3dc47910,LOT24G104,Northstar Remedies Ltd.,northstar.com,Manufacturing_Batch_Record_LOT24G104.pdf,resolved_upheld,2026-06-03T10:00:00,2026-06-12T09:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
7f5532c1-41ee-4b58-a16a-1aa1ed7629f5,25017959,Silverline Drugs Pvt. Ltd.,silverlinedrugs.com,Certificate_of_Analysis_25017959.pdf,under_review,2026-03-08T18:00:00,,
b34884a5-1723-4d16-81db-54a058ed76ae,25122088,Girivan Pharmaceuticals Pvt. Ltd.,girivanpharma.com,Certificate_of_Analysis_25122088.pdf,open,2026-06-18T16:00:00,,
dc5f0f40-6dac-45ad-9730-91489c12fa0b,LOT26G994,Meridian Formulations Pvt. Ltd.,meridian.com,Corrected_NSQ_Notice_LOT26G994.pdf,resolved_upheld,2026-04-03T12:00:00,2026-04-10T13:00:00,Manufacturing licence cited does not correspond to the disputed batch. Verdict upheld.
228d6adf-4ac9-4ff6-9396-caf4c0c5de26,LOT26C443,Meridian Formulations Pvt. Ltd.,meridian.com,Certificate_of_Analysis_LOT26C443.pdf,resolved_upheld,2026-05-07T10:00:00,2026-05-13T13:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
05584c27-c73b-4105-9437-7a6fdcf7e498,LOT26F807,Girivan Pharmaceuticals Pvt. Ltd.,girivanpharma.com,Certificate_of_Analysis_LOT26F807.pdf,open,2026-02-05T15:00:00,,
92ca9269-f5d6-4597-a5d9-c5dfa7d9be57,LOT25E194,Kalash Biotech Ltd.,kalashbio.com,Data_Entry_Correction_Letter_LOT25E194.pdf,under_review,2026-08-25T13:00:00,,
11d3ad2c-401a-41f6-aab3-f42854951460,DW0138,Kalash Biotech Ltd.,kalashbio.com,Certificate_of_Analysis_DW0138.pdf,resolved_upheld,2026-04-07T11:00:00,2026-04-12T12:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
d69522f5-c326-4dd8-9a48-f55117a979fc,DK5108,Girivan Pharmaceuticals Pvt. Ltd.,girivanpharma.com,Third_Party_Lab_Retest_Report_DK5108.pdf,open,2026-08-20T18:00:00,,
5f43343f-df5c-4640-b217-054b02843e63,LOT26G147,Vishwas Healthcare Pvt. Ltd.,vishwashealth.com,Manufacturing_Batch_Record_LOT26G147.pdf,resolved_overturned,2026-01-26T14:00:00,2026-02-03T15:00:00,Batch number in the original NSQ record was transcribed incorrectly (data-entry error); corrected and verdict overturned.
1c953e45-6b96-45a1-bc7d-6b5191aca028,LOT26H731,Amrutha Drugs Ltd.,amruthadrugs.com,Third_Party_Lab_Retest_Report_LOT26H731.pdf,resolved_upheld,2026-07-31T14:00:00,2026-08-05T09:00:00,No new evidence provided beyond the original submission. Verdict upheld after regulator review.
