id,product_name,batch_number,manufacturer,alert_date,reason,source_document,extraction_confidence,lab_type,status
ca404339-7f2a-49ee-b522-ece6d155fb4c,RabepHeal 20,AX2291,Amrutha Drugs Ltd.,2026-03-01,Dissolution test failure,CDSCO_NSQ_Alert_March_2026_CentralLabs.pdf,high,central,active
1a6eddab-c301-4adc-a109-b9c4653edc42,RabepHeal 20,FM9184,Amrutha Drugs Ltd.,2026-01-12,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Jan_2026_Maharashtra_StateLabs.pdf,high,state,active
16549bfb-d22b-4e44-890b-b1469795cc62,CiproCure 500,RV5567,Bhoomi Remedies Pvt. Ltd.,2025-11-04,Content uniformity test failure,CDSCO_NSQ_Alert_Nov_2025_Gujarat_StateLabs.pdf,medium,state,superseded
04daa5ce-e4bd-41f3-828b-7b8f41fb9b59,CiproCure 500,RV5567,Bhoomi Remedies Pvt. Ltd.,2025-12-18,Content uniformity test failure -- corrected: batch number transcription error,CDSCO_NSQ_Correction_Notice_Dec_2025.pdf,high,state,corrected
66e9ca44-2934-464b-a45d-eb6ee17237a8,AmoxiVita 625,SW1123,Sanjeevani Formulations Pvt. Ltd.,2026-02-09,Weight variation test failure,CDSCO_NSQ_Alert_Feb_2026_TamilNadu_StateLabs.pdf,high,state,corrected
1f0551da-1320-4c0d-87fe-e534da1695b8,TelmiZen 40,TX6690,Meridian Formulations Pvt. Ltd.,2026-04-21,Disintegration test failure,CDSCO_NSQ_Alert_April_2026_CentralLabs.pdf,high,central,active
c687b088-2d34-478a-a3c2-757f0952dc17,MetopKind 25,PT8813,Nirmala Biotech Pvt. Ltd.,2026-05-15,pH value out of specified range,CDSCO_NSQ_Alert_May_2026_Karnataka_StateLabs.pdf,medium,state,active
c84db807-baa4-44c5-adc2-8813ba13a69a,CholeCip 600,LOT25A315,Girivan Pharmaceuticals Pvt. Ltd.,2026-07-21,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jul_2026_Gujarat_StateLabs.pdf,high,state,active
fd1467d9-1312-4704-8db1-e71fd1fdff5e,MetopKind 25,AR2414,Nirmala Biotech Pvt. Ltd.,2025-07-03,Uniformity of dosage units failure,CDSCO_NSQ_Alert_Jul_2025__CentralLabs.pdf,high,central,active
1e9752dc-2318-40b6-9855-30b3ada1b197,AceclTas 100,LOT26H952,Bhoomi Remedies Pvt. Ltd.,2025-03-26,Loss on drying test failure,CDSCO_NSQ_Alert_Mar_2025_Gujarat_StateLabs.pdf,medium,state,active
cb463658-c274-406a-9bc4-a27d4bc2d323,AmoxiVita 625,25101642,Sanjeevani Formulations Pvt. Ltd.,2025-06-08,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jun_2025_Telangana_StateLabs.pdf,high,state,active
0a6f5c6d-80de-47a4-ac4e-e8157d19ab62,LosarPro 50,LOT24H440,Northstar Remedies Ltd.,2025-05-25,Friability test failure,CDSCO_NSQ_Alert_May_2025__CentralLabs.pdf,high,central,active
d67af196-37b5-4470-9c07-ecd4e1bf33c6,CetirHeal 10,AR8412,Northstar Remedies Ltd.,2024-04-20,Friability test failure,CDSCO_NSQ_Alert_Apr_2024_Maharashtra_StateLabs.pdf,high,state,active
85f5985d-544c-46d3-aafd-2999c8779eb6,CiproCure 500,FY6679,Bhoomi Remedies Pvt. Ltd.,2025-01-20,Friability test failure,CDSCO_NSQ_Alert_Jan_2025_Karnataka_StateLabs.pdf,high,state,active
9e1355dd-05dc-41a9-93dc-e7e0a8d702a0,IbuprPlus 400,DW0138,Kalash Biotech Ltd.,2025-06-27,Content uniformity test failure,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,high,state,active
c5cb068f-dcf3-48b9-9272-4734d714277d,AzithMax 500,25015384,Kalash Biotech Ltd.,2025-06-16,Water content (Karl Fischer) test failure,CDSCO_NSQ_Alert_Jun_2025_Maharashtra_StateLabs.pdf,high,state,active
117e2ead-1d2e-46c9-a8f5-3f1047b6ebda,ParacKind 500,24019419,Silverline Drugs Pvt. Ltd.,2024-08-28,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Aug_2024__CentralLabs.pdf,high,central,active
aeb5f18e-47bd-4191-a480-1473466a6353,CiproCure 500,YQ5021,Bhoomi Remedies Pvt. Ltd.,2025-06-02,Dissolution test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
1c0ae93d-3b85-4235-9c45-0bc9f6d81936,DoxycCare 100,FS1967,Punarnava Life Sciences Ltd.,2026-08-18,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Aug_2026__CentralLabs.pdf,high,central,active
4085ba30-6dfc-4ecc-ae1f-fa0f150e9894,MetfoGen 500,LOT26H957,Suraksha Pharmaceuticals Ltd.,2024-01-01,Weight variation test failure,CDSCO_NSQ_Alert_Jan_2024_WestBengal_StateLabs.pdf,high,state,active
bf790cc4-5a44-463f-a1a7-97dab20fcd1e,CholeZen 600,24041775,Suraksha Pharmaceuticals Ltd.,2025-09-10,Related substances / degradation impurities beyond specified limit,CDSCO_NSQ_Alert_Sep_2025_TamilNadu_StateLabs.pdf,medium,state,active
d0253e0e-cc7d-4705-8557-b4ddfe8f0e01,MetfoGen 500,25018104,Suraksha Pharmaceuticals Ltd.,2026-01-02,Content uniformity test failure,CDSCO_NSQ_Alert_Jan_2026_Gujarat_StateLabs.pdf,high,state,active
8bdc7378-86e9-4858-9c2c-369c7efcfdd0,CetirHeal 10,PY9868,Northstar Remedies Ltd.,2025-06-26,Weight variation test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,medium,central,active
