product_name,batch_number,manufacturer,alert_date,reason,source_document,lab_type,extraction_confidence,page,mfg_date,expiry_date,reported_by
Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H27,Martin & Brown Bio-sciences Pvt. Ltd.,2025-04-30,"pH, Sterility and Assay",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,08/2024,07/2026,"CDL, Kolkata"
Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H21,Martin & Brown Bio-sciences Pvt. Ltd.,2025-04-30,"pH, Sterility and Assay",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,08/2024,07/2026,"CDL, Kolkata"
Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H22,Martin & Brown Bio-sciences Pvt. Ltd.,2025-04-30,"pH, Sterility and Assay",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,08/2024,07/2026,"CDL, Kolkata"
Bupivacaine Hydrochloride Injection IP (Bupicain-0.5%),BPC24007,Themis Medicare Limited,2025-04-30,Particulate matter and Description,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,12/2024,10/2026,"CDL, Kolkata"
Ceftriaxone and Sulbactam for Injection IP (CEFRITZ S 1.5),24DH13V,MMG Healthcare,2025-04-30,Bacterial endotoxins for Sterile water for Injection.,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,08/2024,07/2026,"CDL, Kolkata"
Pantoprazole Gastro- Resistant Tablets IP 40 mg.,MT240578,Mancare Laboratories Pvt. Ltd.,2025-04-30,Dissolution in Buffer Stage,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,08/2024,07/2026,"CDL, Kolkata"
Oxcarbazepine Tablets IP 300 mg (OXCARBAJAJ 300),OXB02I24,Bajaj Healthcare Ltd.,2025-04-30,Dissolution,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1,09/2024,08/2026,"CDL, Kolkata"
Calcium & Vitamin D3 Tablets IP,QT23136,Quest Laboratories Limited,2025-04-30,Dissolution (for Calcium) and Assay of Elemental Calcium,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,1-2,11/2024,10/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1289,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1292,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
