source_document,page,product_name,batch_number,manufacturer,mfg_date,expiry_date,reject_reasons
CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,4,Ampicillin Sodium Injection I.P. (AMPIVEE- 500 Injection),TGDI08231904,T & G Medicare,8/2023,07/2025,guard: batch not found in page text
CDSCO_NSQ_june25.pdf,2,Docetaxel Anhydrous IP,DXT202412040,Sanghai Jinhe Bio-Pharmaceutical Co. Ltd.,12/2024,12/2026,guard: batch not found in page text
CDSCO_NSQ_june25.pdf,3,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection )","B.no:IEW1480C,IEW-1480B",E.G.Pharmaceuticals,09/2024,08/2026,batch cell holds multiple/unparseable batches
CDSCO_NSQ_june25.pdf,3,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection )","B.no:IEW-1487C,IEW-1487B",E.G.Pharmaceuticals,0 9 /2024,08/2026,batch cell holds multiple/unparseable batches
NSQ_ALERT_MAY-2025.pdf,5,Azithromycin Tablets IP 250 mg (RICK-250 TABLETS),Notmentioned,Paradox Pharmaceuticals,NM,NM,batch number not stated in document; manufacturing date does not parse ('NM'); expiry date does not parse ('NM'); guard: batch not found in page text
NSQ_ALERT_MAY-2025.pdf,5,Amoxycillin and Potassium Clavulanate Tablets IP (Rumentin-625 Tablets),RUM2411002,Rextuse Pharmaceuticals,11/2024,10/2026,guard: batch not found in page text
NSQ_ALERT_MAY-2025.pdf,6,Injection Oxytocin Vet. 100 ml Vial,Notmentioned,Not mentioned,NM,NM,batch number not stated in document; manufacturing date does not parse ('NM'); expiry date does not parse ('NM'); guard: batch not found in page text
NSQ_ALERT_MAY-2025.pdf,6,Injection Oxytocin Vet. 50 ml Vial,Notmentioned,Not mentioned,NM,NM,batch number not stated in document; manufacturing date does not parse ('NM'); expiry date does not parse ('NM'); guard: batch not found in page text
NSQ_ALERT_MAY-2025.pdf,7,Betahistine Dihydrochloride Tablet I.P (CGHEST-8),CT24250284A,CMG Biotech Pvt. Ltd,05/2024,04/2026,guard: batch not found in page text
STATE_NSQ_June_-2025.pdf,4,Ibuprofen Tablets IP 400 mg,"270524-BKN13,",Biogenetic Drugs Pvt. Ltd.,May-24,Apr-26,batch cell holds multiple/unparseable batches
